Dose ,Treatment ,Species ,Response_mean_SE
1,Moxidectin_form,Agrostis capillaris L.,53.7 ± 3.2
10,Moxidectin_form,Agrostis capillaris L.,4.9 ± 1.1
0,Moxidectin_form,Cynosurus cristatus L.,78.3 ± 4.1
0.1,Moxidectin_form,Cynosurus cristatus L.,83.7 ± 1.1
1,Moxidectin_form,Cynosurus cristatus L.,78.9 ± 1.6
10,Moxidectin_form,Cynosurus cristatus L.,32.9 ± 5.0
0,Moxidectin_form,Lolium perenne L.,53.7 ± 5.5
0.1,Moxidectin_form,Lolium perenne L.,62.9 ± 1.6
1,Moxidectin_form,Lolium perenne L.,62.9 ± 5.4
10,Moxidectin_form,Lolium perenne L.,52.3 ± 5.2
0,Moxidectin_form,Phleum phleoides (L.) H. KARST.,7.4 ± 0.8
0.1,Moxidectin_form,Phleum phleoides (L.) H. KARST.,2.0 ± 1.2
1,Moxidectin_form,Phleum phleoides (L.) H. KARST.,4.6 ± 0.8
10,Moxidectin_form,Phleum phleoides (L.) H. KARST.,0
0,Ivermectin_ai,Achillea ptarmica L.,15.4 ± 4.5
0.1,Ivermectin_ai,Achillea ptarmica L.,20.3 ± 4.9
1,Ivermectin_ai,Achillea ptarmica L.,20.6 ± 4.7
10,Ivermectin_ai,Achillea ptarmica L.,28.6 ± 8.8
0,Ivermectin_ai,Centaurea jacea L.,15.4 ± 1.7
0.1,Ivermectin_ai,Centaurea jacea L.,27.4 ± 2.1
1,Ivermectin_ai,Centaurea jacea L.,26.3 ± 2.8
10,Ivermectin_ai,Centaurea jacea L.,27.7 ± 3.3
0,Ivermectin_ai,Hypochaeris radicata L.,93.4 ± 1.4
0.1,Ivermectin_ai,Hypochaeris radicata L.,94.0 ± 1.5
1,Ivermectin_ai,Hypochaeris radicata L.,93.7 ± 2.5
10,Ivermectin_ai,Hypochaeris radicata L.,93.4 ± 2.4
0,Ivermectin_ai,Cerastium holosteoides Fr.,35.1 ± 3.9
0.1,Ivermectin_ai,Cerastium holosteoides Fr.,42.9 ± 3.6
1,Ivermectin_ai,Cerastium holosteoides Fr.,40.3 ± 3.7
10,Ivermectin_ai,Cerastium holosteoides Fr.,42.3 ± 3.0
0,Ivermectin_ai,Dianthus deltoides L.,18.9 ± 1.9
0.1,Ivermectin_ai,Dianthus deltoides L.,29.4 ± 8.2
1,Ivermectin_ai,Dianthus deltoides L.,24.0 ± 2.3
10,Ivermectin_ai,Dianthus deltoides L.,24.9 ± 4.8
0,Ivermectin_ai,Lychnis flos-cuculi L.,12.3 ± 2.6
0.1,Ivermectin_ai,Lychnis flos-cuculi L.,22.6 ± 3.7
1,Ivermectin_ai,Lychnis flos-cuculi L.,21.1 ± 3.4
10,Ivermectin_ai,Lychnis flos-cuculi L.,26.0 ± 5.8
0,Ivermectin_ai,Hippocrepis comosa L.,17.4 ± 2.2
0.1,Ivermectin_ai,Hippocrepis comosa L.,16.6 ± 1.8
1,Ivermectin_ai,Hippocrepis comosa L.,22.3 ± 2.0
10,Ivermectin_ai,Hippocrepis comosa L.,27.4 ± 5.5
0,Ivermectin_ai,Medicago lupulina L,18.6 ± 3.0
0.1,Ivermectin_ai,Medicago lupulina L,24.0 ± 5.4
1,Ivermectin_ai,Medicago lupulina L,11.4 ± 2.8
10,Ivermectin_ai,Medicago lupulina L,18.3 ± 2.7
0,Ivermectin_ai,Trifolium aureum POLLICH,70.6 ± 3.1
0.1,Ivermectin_ai,Trifolium aureum POLLICH,71.1 ± 3.0
